	gene	locus_tag	product	protein_id	EC_number
45	NA	SMb20043	Hypothetical protein	CAC48446.1	NA
46	incA1	SMb22026	Probable replication protein C	CAC48447.1	NA
47	repB1	SMb20045	Probable replication protein B	CAC48448.1	NA
48	repA1	SMb20046	Probable replication protein A	CAC48449.1	NA
49	NA	SMb20047	Hypothetical protein	CAC48450.1	NA
50	NA	SMb20048	Probable transcriptional regulator	CAC48451.1	NA
51	fusA2	SMb20049	Putative elongation factor G	CAC48452.1	NA
52	NA	SMb20050	Hypothetical transmembrane protein	CAC48453.1	NA
53	cpo	SMb20054	Chloride peroxidase	CAC48454.1	1.11.1.10
54	NA	SMb20055	Putative transcriptional regulator	CAC48455.1	NA
55	btuF	SMb20056	ABC transporter, periplasmic solute-binding 	CAC48456.1	NA
56	btuC	SMb20057	ABC transporter, permease	CAC48457.1	NA
57	btuD	SMb20058	ABC transporter, ATP-binding protein	CAC48458.1	NA
58	NA	SMb21610	SAM-dependent methyltransferase, may be involved 	CAC48459.1	2.1.1.-
59	TRm5	SMb20060	Probable ISRm5 transposase	CAC48460.1	NA
60	NA	SMb22003	Putative partial transposase	CAQ51276.1	NA
61	NA	SMb20061	Hypothetical protein	CAC48461.1	NA
62	NA	SMb20062	Conserved hypothetical protein	CAC48462.1	NA
63	NA	SMb20063	Conserved hypothetical protein	CAC48463.1	NA
64	NA	SMb20064	Putative transposase	CAC48464.1	NA
65	NA	SMb20065	Hypothetical protein	CAC48465.1	NA
66	NA	SMb20066	Hypothetical protein	CAC48466.1	NA
67	NA	SMb20067	Hypothetical protein	CAC48467.1	NA
68	NA	SMb20068	Hypothetical protein	CAC48468.1	NA
69	NA	SMb20069	Probable Na+/aminoacid symporter	CAC48469.1	NA
70	NA	SMb20070	Putative sulfate permease	CAC48470.1	NA
71	NA	SMb20071	Putative efflux protein	CAC48471.1	NA
72	NA	SMb20072	ABC transporter, periplasmic solute-binding 	CAC48472.1	NA
73	NA	SMb20073	3-oxoacyl-[acyl-carrier-protein] reductase	CAC48473.1	1.1.1.100
74	NA	SMb20074	Hypothetical protein	CAC48474.1	NA
75	NA	SMb20075	Hypothetical protein	CAC48475.1	NA
76	NA	SMb20076	3-oxoacyl-[acyl-carrier-protein] reductase	CAC48476.1	1.1.1.100
77	NA	SMb20077	Putative sensor histidine kinase	CAC48477.1	NA
78	NA	SMb20078	Probable response regulator	CAC48478.1	NA
79	NA	SMb20079	Probable type I secretion target repeat protein	CAC48479.1	4.6.1.1
80	NA	SMb20080	Formaldehyde dehydrogenase (glutathione)	CAC48480.2	NA
81	NA	SMb20081	Conserved hypothetical protein	CAC48481.1	NA
82	NA	SMb20082	Hypothetical protein	CAC48482.1	NA
83	NA	SMb20083	Hypothetical protein	CAC48483.1	NA
84	NA	SMb20084	Hypothetical protein transmembrane	CAC48484.1	NA
85	NA	SMb20085	Hypothetical protein	CAC48485.1	NA
86	NA	SMb20086	Hypothetical protein	CAC48486.1	NA
87	NA	SMb20087	Conserved hypothetical protein	CAC48487.1	NA
88	NA	SMb20088	Conserved hypothetical protein	CAC48488.1	2.1.1.77
89	NA	SMb20089	Hypothetical protein	CAC48489.1	NA
90	NA	SMb20090	Hypothetical protein	CAC48490.1	NA
91	NA	SMb20091	Conserved hypothetical protein	CAC48491.1	NA
92	NA	SMb20092	Conserved hypothetical protein	CAC48492.1	NA
93	NA	SMb20093	Hypothetical protein	CAC48493.1	NA
94	NA	SMb20094	Phospholipase D	CAC48494.1	3.1.4.4
95	NA	SMb20095	Acetolactate synthase	CAC48495.1	2.2.1.6
96	NA	SMb20096	Conserved hypothetical protein	CAC48496.1	NA
97	NA	SMb20097	Hypothetical oxidoreductase protein	CAC48497.1	NA
98	NA	SMb20098	Conserved hypothetical protein	CAC48498.1	NA
99	NA	SMb20099	Maltose alpha-D-glucosyltransferase	CAC48499.1	5.4.99.16
100	NA	SMb20100	Putative dehydrogenase	CAC48500.1	NA
101	NA	SMb20101	Probable oxidoreductase	CAC48501.1	1.2.1.19
102	acoR	SMb20102	Putative acetoin catabolism regulatory protein	CAC48502.1	NA
103	NA	SMb20103	Probable FAD-dependent oxidoreductase	CAC48503.1	1.14.13.8
104	NA	SMb20104	Hypothetical membrane protein	CAC48504.1	NA
105	NA	SMb20105	Putative transcriptional regulator	CAC48505.1	NA
106	NA	SMb20106	Putative transcriptional regulator	CAC48506.1	NA
107	NA	SMb20107	Conserved hypothetical protein	CAC48507.1	4.2.1.52
108	NA	SMb20108	Putative ABC transporter periplasmic 	CAC48508.1	NA
109	NA	SMb20109	Putative oligopeptide ABC transporter permease	CAC48509.1	NA
110	NA	SMb20110	Putative oligopeptide ABC transporter permease	CAC48510.1	NA
111	NA	SMb20111	Putative oligopeptide ABC transporter 	CAC48511.1	NA
112	NA	SMb20112	Hypothetical protein	CAC48512.1	NA
113	NA	SMb20113	(R)-2-hydroxyacid dehydrogenase 	CAC48513.1	1.1.1.272
114	NA	SMb20114	Hypothetical protein	CAC48514.1	NA
115	ilvD4	SMb20115	Putative dihydroxy-acid dehydratase	CAC48515.1	4.2.1.9
116	NA	SMb20116	Conserved hypothetical protein	CAC48516.1	NA
117	NA	SMb20117	Hypothetical sugar transferase protein	CAC48517.1	NA
118	NA	SMb20118	Conserved hypothetical protein	CAC48518.1	NA
119	NA	SMb20119	Putative site-specific recombinase	CAC48519.1	NA
120	NA	SMb22004	Probable plasmid stabilization system	CAQ51277.1	NA
121	NA	SMb20121	Hypothetical protein	CAC48521.1	NA
122	NA	SMb20122	Hypothetical protein	CAC48522.1	NA
123	NA	SMb20123	Putative transcriptional regulator	CAC48523.1	NA
124	NA	SMb20124	ABC transporter, ATP-binding protein	CAC48524.1	NA
125	NA	SMb20125	ABC transporter, permease	CAC48525.1	NA
126	NA	SMb20126	ABC transporter, permease	CAC48526.1	NA
127	NA	SMb20127	ABC transporter, periplasmic solute-binding 	CAC48527.1	NA
128	NA	SMb20128	Deaminase	CAC48528.1	NA
129	NA	SMb20129	Putative transcriptional regulator	CAC48529.1	NA
130	NA	SMb20130	Probable oxidoreductase	CAC48530.1	1.17.1.4
131	NA	SMb20131	Probable oxidoreductase	CAC48531.1	1.2.99.2
132	NA	SMb20132	Probable dehydrogenase	CAC48532.1	1.17.1.4
133	NA	SMb20133	Conserved hypothetical protein	CAC48533.1	NA
134	NA	SMb20134	Putative permease	CAC48534.1	NA
135	NA	SMb20135	Putative 3-octaprenyl-4-hydroxybenzoate 	CAC48535.1	4.1.1.-
136	NA	SMb20136	Conserved hypothetical protein	CAC48536.1	NA
137	NA	SMb20137	Conserved hypothetical protein	CAC48537.1	NA
138	NA	SMb20138	Conserved hypothetical protein	CAC48538.1	NA
139	NA	SMb20139	Hypothetical protein	CAC48539.1	NA
140	dapA2	SMb20140	Putative dihydrodipicolinate synthase	CAC48540.1	4.2.1.52
141	NA	SMb20141	ABC transporter, ATP-binding protein	CAC48541.1	NA
142	NA	SMb20142	ABC transporter, permease	CAC48542.1	NA
143	NA	SMb20143	ABC transporter, permease	CAC48543.1	NA
144	NA	SMb20144	ABC transporter, periplasmic solute-binding 	CAC48544.1	NA
145	NA	SMb20145	Hypothetical protein	CAC48545.1	NA
146	pdxA2	SMb20146	4-hydroxythreonine-4-phosphate dehydrogenase 2 , 	CAC48546.1	1.1.1.262
147	NA	SMb20147	Alcohol dehydrogenase	CAC48547.1	1.1.1.1
148	NA	SMb20148	Probable transcriptional regulator	CAC48548.1	NA
149	NA	SMb20149	Hypothetical protein	CAC48549.1	NA
150	NA	SMb20150	Inositol-phosphate phosphatase	CAC48550.1	3.1.3.25
151	NA	SMb20151	Conserved hypothetical protein	CAC48551.1	NA
152	NA	SMb20152	Hypothetical protein	CAC48552.1	NA
153	NA	SMb20153	Hypothetical protein transmembrane	CAC48553.1	NA
154	NA	SMb20154	Probable transcriptional regulator	CAC48554.1	NA
155	NA	SMb20155	Putative ABC transporter permease	CAC48555.1	NA
156	NA	SMb20156	Putative ABC transporter ATP-binding protein	CAC48556.1	NA
157	NA	SMb20157	Hypothetical ABC transporter periplasmic 	CAC48557.1	NA
158	NA	SMb20158	Hypothetical ABC transporter periplasmic 	CAC48558.1	NA
159	NA	SMb20159	Inositol-phosphate phosphatase	CAC48559.1	3.1.3.25
160	NA	SMb20160	Conserved hypothetical protein	CAC48560.1	NA
161	NA	SMb22005	Conserved hypothetical protein	CAQ51278.1	NA
162	NA	SMb20161	Hypothetical protein	CAC48561.1	NA
163	NA	SMb20162	Probable transcriptional regulator	CAC48562.1	NA
164	NA	SMb20163	Conserved hypothetical protein	CAC48563.1	NA
165	NA	SMb20164	Probable two-component response regulator 	CAC48564.1	2.7.3.-
166	NA	SMb20165	Hypothetical protein	CAC48565.1	NA
167	NA	SMb20166	Conserved hypothetical protein	CAC48566.1	NA
168	NA	SMb20167	Hypothetical protein	CAC48567.1	NA
169	NA	SMb20168	Conserved hypothetical protein	CAC48568.1	NA
170	NA	SMb20169	Hypothetical protein	CAC48569.1	NA
171	fdh	SMb20170	Probable glutathione-dependent formaldehyde 	CAC48570.1	NA
172	NA	SMb20171	Carboxylesterase	CAC48571.2	3.1.1.1
173	NA	SMb20172	Putative cytochrome c	CAC48572.1	NA
174	NA	SMb20173	Putative methanol dehydrogenase protein, large 	CAC48573.1	1.1.99.8
175	NA	SMb20174	Putative cytochrome c	CAC48574.1	NA
176	NA	SMb20175	Hypothetical protein	CAC48575.2	NA
177	NA	SMb20176	Hypothetical protein	CAC48576.1	NA
178	NA	SMb20177	Hypothetical protein	CAC48577.1	NA
179	NA	SMb20178	Hypothetical protein	CAC48578.1	NA
180	NA	SMb20179	Conserved hypothetical protein	CAC48579.1	NA
181	NA	SMb20180	Hypothetical protein	CAC48580.1	NA
182	NA	SMb20181	Putative ABC transporter periplasmic 	CAC48581.1	NA
183	NA	SMb20182	Putative ABC transporter	CAC48582.1	NA
184	NA	SMb20183	Putative ABC transporter ATP-binding protein	CAC48583.1	NA
185	NA	SMb20184	Putative ABC transporter ATP-binding protein	CAC48584.1	NA
186	NA	SMb20185	Probable ABC transporter	CAC48585.1	NA
187	NA	SMb20186	Conserved hypothetical protein	CAC48586.1	NA
188	NA	SMb20194	Conserved hypothetical protein	CAC48587.2	NA
189	ppe	SMb20195	Ribulose-phosphate 3-epimerase	CAC48588.1	5.1.3.1
190	cbbX	SMb20196	ATPase of the AAA+ class	CAC48589.1	NA
191	cbbS	SMb20197	Putative ribulose-1,5-bisphosphate carboxylase 	CAC48590.1	4.1.1.39
192	cbbL	SMb20198	Putative ribulose-1,5-bisphosphate carboxylase 	CAC48591.1	4.1.1.39
193	cbbA	SMb20199	Putative fructose-1,6-bisphosphate aldolase	CAC48592.1	4.1.2.13
194	cbbT	SMb20200	Putative transketolase	CAC48593.1	2.2.1.1
195	cbbP	SMb20201	Putative phosphoribulokinase	CAC48594.1	2.7.1.19
196	cbbF	SMb20202	Putative D-fructose-1,6-bisphosphatase	CAC48595.1	3.1.3.11
197	cbbR	SMb20203	Probable transcriptional regulator	CAC48596.1	NA
198	pqqA	SMb20204	Putative pyrroloquinoline quinone synthesis 	CAC48597.1	NA
199	pqqB	SMb20205	Probable pyrroloquinoline quinone synthesis 	CAC48598.1	NA
200	pqqC	SMb20206	Probable pyrroloquinoline quinone synthesis 	CAC48599.1	NA
201	pqqD	SMb20207	Putative pyrroloquinoline quinone synthesis 	CAC48600.1	NA
202	pqqE	SMb20208	Probable pyrroloquinoline quinone synthesis 	CAC48601.1	NA
203	NA	SMb20209	Probable tautomerase	CAC48602.1	NA
204	NA	SMb20210	Probable oxidoreductase	CAC48603.1	1.1.1.100
205	NA	SMb20211	Putative transcriptional regulator	CAC48604.1	NA
206	NA	SMb20212	Hypothetical protein	CAC48605.1	NA
207	NA	SMb20213	Conserved hypothetical protein	CAC48606.1	NA
208	NA	SMb20214	Probable oxidoreductase	CAC48607.1	1.1.1.100
209	NA	SMb20215	Putative transcriptional regulator	CAC48608.1	NA
210	NA	SMb20216	Epoxide hydrolase	CAC48609.1	NA
211	NA	SMb20217	Hypothetical protein	CAC48610.1	NA
212	NA	SMb20218	Putative sensor histidine kinase	CAC48611.1	NA
213	NA	SMb20219	Putative response regulator	CAC48612.1	NA
214	NA	SMb22002	Epoxide hydrolase	CAQ51279.1	NA
215	NA	SMb20221	Epoxide hydrolase	CAC48613.1	NA
216	NA	SMb20222	Hypothetical protein	CAC48614.2	NA
217	NA	SMb22001	Conserved hypothetical protein	CAQ51280.1	NA
218	smC22-1	SMb20225	probable osmotically inducible sensory protein	CAC48616.1	NA
219	NA	SMb20226	Hypothetical protein	CAC48617.1	NA
220	ndiA-1	SMb20227	Putative nutrient deprivation-induced protein	CAC48618.1	NA
221	ndiA-2	SMb20228	Putative nutrient deprivation-induced protein	CAC48619.1	NA
222	ndiB	SMb20229	Putative nutrient deprivation-induced protein	CAC48620.1	NA
223	smC22-r	SMb20230	probable smc22-r protein	CAC48621.1	NA
224	NA	SMb20231	Putative ABC transporter sugar-binding protein	CAC48622.1	NA
225	NA	SMb20232	Putative suagr ABC transporter permease	CAC48623.1	NA
226	NA	SMb20233	Putative sugar ABC transporter permease	CAC48624.1	NA
227	NA	SMb20234	Hypothetical protein	CAC48625.1	NA
228	NA	SMb20235	Putative sugar ABC transporter ATP-binding 	CAC48626.1	NA
229	NA	SMb20236	Hypothetical protein	CAC48627.1	NA
230	NA	SMb20238	3-demethylubiquinone-9 3-O-methyltransferase	CAC48628.1	2.1.1.64
231	rmlB	SMb20239	Putative dTDP-glucose 4,6-dehydratase	CAC48629.1	4.2.1.46
232	NA	SMb20240	Conserved hypothetical protein	CAC48630.1	NA
233	NA	SMb20241	Conserved hypothetical protein	CAC48631.1	NA
234	NA	SMb20242	Conserved hypothetical protein	CAC48632.1	NA
235	NA	SMb20243	Putative glycosyltransferase	CAC48633.1	NA
236	tyv	SMb20244	Putative CDP-tyvelose-2-epimerase	CAC48634.1	5.1.3.-
237	NA	SMb20245	UDP-glucose 4-epimerase	CAC48635.1	5.1.3.2
238	NA	SMb20246	Putative oxidoreductase	CAC48636.1	1.1.1.1
239	NA	SMb20247	Probable oxidoreductase	CAC48637.1	1.-.-.-
240	NA	SMb20248	Hypothetical protein	CAC48638.1	NA
241	NA	SMb20249	Putative myo-inositol-1-phosphate synthase	CAC48639.1	5.5.1.4
242	NA	SMb20250	Conserved hypothetical protein	CAC48640.1	NA
243	NA	SMb20251	Hypothetical protein	CAC48641.1	NA
244	NA	SMb20252	Putative oxidoreductase	CAC48642.1	1.12.98.1
245	NA	SMb20253	Hypothetical protein	CAC48643.1	NA
246	NA	SMb20254	Hypothetical protein	CAC48644.1	NA
247	NA	SMb20255	Hypothetical protein	CAC48645.1	NA
248	NA	SMb20256	Hypothetical protein	CAC48646.1	NA
249	cyaM	SMb20257	Adenylate cyclase	CAC48647.1	4.6.1.1
250	NA	SMb20258	Putative transcriptional regulator	CAC48648.1	NA
251	NA	SMb20259	Dihydrodipicolinate synthase	CAC48649.1	4.2.1.52
252	NA	SMb20260	Hypothetical protein	CAC48650.1	NA
253	NA	SMb20261	Malate dehydrogenase	CAC48651.1	1.1.1.37
254	NA	SMb20262	Aldehyde dehydrogenase (NADP+)	CAC48652.1	1.2.1.4
255	NA	SMb20263	Putative ABC transporter periplasmic amino 	CAC48653.1	NA
256	NA	SMb20264	Putative amino acid ABC transporter permease	CAC48654.1	NA
257	NA	SMb20265	Putative amino acid ABC transporter permease	CAC48655.1	NA
258	NA	SMb20266	Putative amino acid ABC transporter ATP-binding 	CAC48656.1	NA
259	NA	SMb20267	Putative D-amino acid dehydrogenase	CAC48657.1	1.4.99.1
260	NA	SMb20268	Putative proline racemase	CAC48658.1	NA
261	NA	SMb20269	Conserved hypothetical protein	CAC48659.1	NA
262	NA	SMb20270	Probable proline racemase	CAC48660.1	5.1.1.4
263	NA	SMb20271	Hypothetical protein	CAC48661.1	NA
264	NA	SMb20272	Putative transporter	CAC48662.1	NA
265	NA	SMb20273	Hypothetical protein	CAC48663.1	NA
266	NA	SMb20274	Hypothetical protein	CAC48664.1	NA
267	NA	SMb20275	Conserved hypothetical protein	CAC48665.1	NA
268	NA	SMb20276	Putative transcriptional regulator	CAC48666.1	NA
269	NA	SMb20277	Glutamate-1-semialdehyde 2,1-aminomutase	CAC48667.1	5.4.3.8
270	NA	SMb20278	Hypothetical protein	CAC48668.1	NA
271	NA	SMb20279	Hypothetical protein	CAC48669.1	NA
272	NA	SMb20280	Putative oxidoreductase	CAC48670.1	1.1.1.-
273	NA	SMb20281	Probable spermidineputrescine ABC transporter 	CAC48671.1	NA
274	NA	SMb20282	Probable spermidineputrescine ABC transporter 	CAC48672.1	NA
275	NA	SMb20283	Probable spermidineputrescine ABC transporter 	CAC48673.1	NA
276	NA	SMb20284	Putative ABC transporter periplasmic 	CAC48674.1	NA
277	NA	SMb20285	Probable transcriptional regulator	CAC48675.1	NA
278	NA	SMb20286	Opine dehydrogenase	CAC48676.1	1.5.1.28
279	NA	SMb20287	Conserved hypothetical protein	CAC48677.1	NA
280	NA	SMb20288	Putative hydrolase	CAC48678.1	3.8.1.8
281	NA	SMb20289	Putative permease	CAC48679.1	NA
282	NA	SMb20290	Putative transcriptional regulator	CAC48680.1	NA
283	NA	SMb20291	Hypothetical protein transmembrane	CAC48681.1	NA
284	NA	SMb20292	Hypothetical immunogenic protein	CAC48682.1	NA
285	NA	SMb20293	Hypothetical protein	CAC48683.1	NA
286	NA	SMb20294	Putative transcriptional regulator	CAC48684.1	NA
287	NA	SMb20295	Putative ABC transporter	CAC48685.1	NA
288	NA	SMb20296	Putative TRAP dicarboxylate transporter	CAC48686.1	NA
289	NA	SMb20297	Putative TRAP dicarboxylate transporter	CAC48687.1	NA
290	NA	SMb20298	Hypothetical protein	CAC48688.1	4.2.1.52
291	nanA	SMb20299	N-acetylneuraminate lyase	CAC48689.1	4.1.3.3
292	cyaF7	SMb20300	Putative adenylate cyclase	CAC48690.1	4.6.1.1
293	NA	SMb20301	Putative oxidoreductase	CAC48691.1	NA
294	NA	SMb20302	Conserved hypothetical protein	CAC48692.1	NA
295	NA	SMb21616	Hypothetical protein	CAC48693.1	NA
296	TRm2011-2C	SMb20304	Probable ISRm2011-2 transposase protein, 	CAC48694.2	NA
297	TRm2011-2	SMb20306	Putative TRm2011-2 protein	CAC48695.1	NA
298	TRm2011-2N	SMb20305	Probable ISRm2011-2 transposase protein, 	CAC48696.1	NA
299	NA	SMb20307	Putative dihydroxyacetone kinase	CAC48697.1	NA
300	NA	SMb20312	Probable dihydroxyacetone kinase	CAC48698.1	2.7.1.29
301	NA	SMb20313	Glycerone kinase	CAC48699.2	2.7.1.29
302	NA	SMb20314	Glycerone kinase	CAC48700.1	2.7.1.29
303	NA	SMb20315	ABC transporter, permease	CAC48701.2	NA
304	NA	SMb20316	ABC transporter, periplasmic solute-binding 	CAC48702.1	NA
305	NA	SMb20317	ABC sugar transporter, ATP-binding protein	CAC48703.1	NA
306	NA	SMb20318	ABC transporter, permease	CAC48704.1	NA
307	NA	SMb20319	Conserved hypothetical protein	CAC48705.1	NA
308	NA	SMb20320	Trap-type periplasmic solute-binding protein, 	CAC48706.1	NA
309	NA	SMb20321	Trap-type large permease component, may be 	CAC48707.1	NA
310	NA	SMb20322	Trap-type small permease component	CAC48708.1	NA
311	NA	SMb20323	Putative transcriptional regulator	CAC48709.1	NA
312	thuR	SMb20324	Transcriptional repressor, likely regulates 	CAC48710.1	NA
313	thuE	SMb20325	ABC transporter, periplasmic solute-binding 	CAC48711.1	NA
314	thuF	SMb20326	ABC transporter, permease component	CAC48712.1	NA
315	thuG	SMb20327	ABC transporter, permease component	CAC48713.1	NA
316	thuK	SMb20328	ABC transporter, ATP-binding protein	CAC48714.1	NA
317	thuA	SMb20329	ThuA trehalose catabolism protein	CAC48715.1	NA
318	thuB	SMb20330	Putative oxidoreductase, trehalose catabolism 	CAC48716.1	1.1.1.18
319	NA	SMb20331	Hypothetical membrane spanning protein	CAC48717.1	NA
320	NA	SMb20332	Putative arylsulfatase	CAC48718.1	3.1.6.1
321	betT	SMb20333	Choline-glycine betaine transporter induced by 	CAC48719.2	NA
322	NA	SMb20334	Hypothetical protein	CAC48720.1	NA
323	NA	SMb20335	Conserved hypothetical protein	CAC48721.2	NA
324	NA	SMb20336	Conserved hypothetical protein	CAC48722.1	NA
325	NA	SMb20337	Putative transcriptional regulator	CAC48723.1	NA
326	NA	SMb20338	Putative transporter	CAC48724.1	NA
327	NA	SMb20339	Hypothetical transmembrane protein	CAC48725.1	NA
328	NA	SMb20340	Hypothetical protein	CAC48726.1	NA
329	NA	SMb20341	Hypothetical protein	CAC48727.1	NA
330	NA	SMb20342	Putative isoquinoline 1-oxidoreductase	CAC48728.1	1.3.99.16
331	NA	SMb20343	Putative isoquinoline 1-oxidoreductase	CAC48729.1	1.3.99.16
332	NA	SMb20344	Putative transcriptional regulator	CAC48730.1	NA
333	NA	SMb20345	Probable acriflavine family protein	CAC48731.1	NA
334	NA	SMb20346	Putative efflux transmembrane protein	CAC48732.1	NA
335	NA	SMb20347	Putative transcriptional regulator	CAC48733.1	NA
336	NA	SMb20348	Hypothetical protein	CAC48734.1	NA
337	NA	SMb20349	ABC transporter, periplasmic solute-binding 	CAC48735.1	NA
338	NA	SMb20350	Hypothetical protein	CAC48736.1	NA
339	NA	SMb20351	ABC transporter, ATP-binding protein	CAC48737.1	NA
340	NA	SMb20352	ABC transporter, permease	CAC48738.1	NA
341	NA	SMb20353	Putative oxidoreductase	CAC48739.1	NA
342	NA	SMb20354	Hypothetical protein	CAC48740.1	NA
343	NA	SMb20355	Conserved hypothetical protein	CAC48741.1	NA
344	NA	SMb20356	Putative two-component sensor histidine kinase	CAC48742.1	2.7.3.-
345	NA	SMb20357	Putative two-component response regulator	CAC48743.1	2.7.3.-
346	cyaL	SMb20358	Guanylate cyclase	CAC48744.1	4.6.1.2
347	NA	SMb20359	Hypothetical protein	CAC48745.1	NA
348	NA	SMb20360	Hypothetical protein	CAC48746.1	NA
349	NA	SMb20361	Putative ionic voltage-gated channel protein	CAC48747.1	NA
350	NA	SMb20362	Inositol-phosphate phosphatase	CAC48748.1	3.1.3.25
351	NA	SMb20363	Putative iron ABC transporter ATP-binding 	CAC48749.1	NA
352	NA	SMb20364	Putative iron ABC transporter permease	CAC48750.2	NA
353	NA	SMb20365	Putative ABC transporter iron-binding protein	CAC48751.1	NA
354	NA	SMb20366	Putative transcriptional regulator	CAC48752.1	NA
355	NA	SMb20367	Putative transcriptional regulator	CAC48753.1	NA
356	NA	SMb20368	Putative efflux transporter	CAC48754.1	NA
357	NA	SMb20369	Putative ABC transporter	CAC48755.1	NA
358	NA	SMb20370	Putative ATP-binding transport protein	CAC48756.1	NA
359	NA	SMb20371	Putative ribose-5-phosphate isomerase	CAC48757.1	5.3.1.6
360	NA	SMb20372	Putative protein	CAC48758.1	NA
361	NA	SMb20373	Putative TRAP dicarboxylate transporter	CAC48759.1	NA
362	NA	SMb20374	Putative periplasmic substrate-binding protein	CAC48760.1	NA
363	NA	SMb20375	Putative transcriptional regulator	CAC48761.1	NA
364	NA	SMb20376	Hypothetical protein	CAC48762.1	NA
365	NA	SMb20377	Putative translation initiation inhibitor	CAC48763.1	NA
366	NA	SMb20378	Succinate-semialdehyde dehydrogenase [NAD(P)+]	CAC48764.1	1.2.1.16
367	NA	SMb20379	Adenosylmethionine-8-amino-7-oxononanoate 	CAC48765.1	2.6.1.62
368	NA	SMb20380	Polyamine-transporting ATPase	CAC48766.1	3.6.3.31
369	NA	SMb20381	Putative ABC transporter permease	CAC48767.1	NA
370	NA	SMb20382	Putative ABC transporter permease	CAC48768.1	NA
371	NA	SMb20383	Putative ABC transporter	CAC48769.1	NA
372	NA	SMb20384	Membrane dipeptidase	CAC48770.1	3.4.13.19
373	NA	SMb20385	Hypothetical protein	CAC48771.1	NA
374	NA	SMb20386	Hypothetical protein	CAC48772.1	NA
375	NA	SMb20387	Putative transcriptional regulator	CAC48773.1	NA
376	NA	SMb20388	Putative NADPH:quinone oxidoreductase	CAC48774.1	1.6.5.5
377	NA	SMb20389	Diguanylate cyclase	CAC48775.1	NA
378	NA	SMb20390	Hypothetical protein	CAC48776.1	NA
379	NA	SMb20391	Cellulose synthase (UDP-forming)	CAC48777.1	2.4.1.12
380	NA	SMb20392	Putative transcriptional regulator	CAC48778.1	NA
