	gene	locus_tag	product	protein_id	EC_number
125	NA	SMc04126	ABC transporter, permease	CAC41513.1	NA
126	NA	SMc04125	ABC transporter, permease	CAC41514.1	NA
127	cdd	SMc04124	Putative cytidine deaminase	CAC41515.1	3.5.4.5
128	deoD	SMc04123	Putative purine nucleoside phosphorylase	CAC41516.1	2.4.2.1
129	deoA	SMc04122	Probable thymidine phosphorylase transmembrane 	CAC41517.1	2.4.2.4
130	upp	SMc04121	Probable uracil phosphoribosyltransferase	CAC41518.1	2.4.2.9
131	add	SMc04120	Putative adenosine deaminase	CAC41519.1	3.5.4.4
132	deoB	SMc04119	Probable phosphopentomutase	CAC41520.1	5.4.2.7
133	NA	SMc04118	Conserved hypothetical transmembrane protein	CAC41521.1	NA
134	NA	SMc04475	Conserved hypothetical transmembrane protein	CAC41522.1	NA
135	TRm22	SMc04116	Putative transposase	CAC41523.1	NA
136	NA	SMc04115	Hypothetical protein	CAC41524.1	NA
137	pilA1	SMc04114	Putative pilin subunit	CAC41525.1	NA
138	cpaA1	SMc04113	Putative pilus assembly transmembrane protein	CAC41526.1	NA
139	cpaB1	SMc04112	Putative pilus assembly signal peptide protein	CAC41527.1	NA
140	cpaC1	SMc04111	Pilus assembly protein	CAC41528.1	NA
141	cpaD1	SMc04110	Pilus assembly protein cpaD	CAC41529.1	NA
142	cpaE1	SMc04109	Putative response regulator	CAC41530.1	NA
143	cpaF1	SMc02820	Putative pilus assembly protein	CAC41531.1	NA
144	NA	SMc02821	Hypothetical transmembrane protein	CAC41532.1	NA
145	NA	SMc04476	Hypothetical transmembrane protein	CAC41533.1	NA
146	TRm22	SMc02823	Putative transposase	CAC41534.1	NA
147	NA	SMc02824	Hypothetical transmembrane protein	CAC41535.1	NA
148	pepA2	SMc02825	Probable aminopeptidase	CAC41536.1	3.4.11.1
149	NA	SMc02826	Hypothetical protein	CAC41537.1	NA
150	NA	SMc02827	Putative gamma-D-glutamyl-L-diamino acid 	CAC41538.1	3.4.-.-
151	NA	SMc02828	NAD-dependent dehydrogenase	CAC41539.1	NA
152	NA	SMc02829	Putative taurine, valine, isoleucine and leucine 	CAC41540.2	NA
153	NA	SMc02830	Putative taurine, valine, isoleucine and leucine 	CAC41541.1	NA
154	NA	SMc02831	Putative taurine, valine, isoleucine and leucine 	CAC41542.1	NA
155	NA	SMc02832	Putative taurine, valine, isoleucine and leucine 	CAC41543.1	NA
156	mepA	SMc02833	Putative murein endopeptidase transmembrane 	CAC41544.1	3.4.-.-
157	mgsA	SMc02834	Probable methylglyoxal synthase	CAC41545.1	4.2.3.3
158	glk	SMc02835	Probable glucokinase transmembrane protein	CAC41546.1	2.7.1.2
159	NA	SMc02836	ABC transporter, ATP-binding and permease 	CAC41547.1	NA
160	dapB	SMc02837	Probable dihydrodipicolinate reductase	CAC41548.1	1.3.1.26
161	gpmA	SMc04421	Probable phosphoglycerate mutase 1 protein	CAC41549.1	5.4.2.1
162	TRm5C	SMc02916	Partial transposase for insertion sequence 	CAC41550.1	NA
163	TRm3	SMc02839	Transposase for insertion sequence element 	CAC41551.1	NA
164	TRm5N	SMc04420	Partial transposase for insertion sequence 	CAC41552.1	NA
165	NA	SMc02841	Putative methylated-DNA--protein-cysteine 	CAC41553.1	2.1.1.63
166	NA	SMc02842	Conserved hypothetical transmembrane protein	CAC41554.1	NA
167	nth	SMc02843	Probable endonuclease III	CAC41555.1	4.2.99.18
168	NA	SMc02844	Probable transcriptional regulator	CAC41556.1	NA
169	NA	SMc02845	Putative resistance protein	CAC41557.1	NA
170	NA	SMc02846	Putative sugar kinase	CAC41558.1	2.7.1.4
171	NA	SMc02847	Hypothetical protein	CAC41559.1	NA
172	NA	SMc02848	Conserved hypothetical protein	CAC41560.2	NA
173	gyaR	SMc04583	Probable glyoxylate reductase	CAC41561.1	1.1.1.26
174	polA	SMc02850	Probable DNA polymerase I	CAC41562.1	2.7.7.7
175	NA	SMc02851	Putative transcriptional regulator	CAC41563.1	NA
176	NA	SMc02852	Putative succinyl-diaminopimelate desuccinylase	CAC41564.1	3.5.1.18
177	NA	SMc02853	Hypothetical transmembrane protein	CAC41565.1	NA
178	NA	SMc02854	Hypothetical signal peptide protein	CAC41566.1	NA
179	NA	SMc02855	Hypothetical transmembrane protein	CAC41567.1	NA
180	NA	SMc02856	Putative penicillin-binding protein	CAC41568.1	NA
181	dnaK	SMc02857	Heat shock protein 70 (HSP70) chaperone	CAC41569.1	NA
182	dnaJ	SMc02858	Probable chaperone protein	CAC41570.1	NA
183	NA	SMc02859	Hypothetical transmembrane protein	CAC41571.1	NA
184	NA	SMc02860	Hypothetical protein	CAC41572.1	NA
185	pit	SMc02861	Phosphate transport transmembrane protein	CAC41573.1	NA
186	NA	SMc02862	Conserved hypothetical protein	CAC41574.1	NA
187	recF	SMc02863	DNA repair protein	CAC41575.1	NA
188	moeB	SMc02864	Probable molybdenum cofactor synthesis protein 3 	CAC41576.1	NA
189	NA	SMc02865	Putative acetyltransferase	CAC41577.1	NA
190	NA	SMc02866	Putative transcriptional regulator	CAC41578.1	NA
191	NA	SMc02867	Putative multidrug-efflux system transmembrane 	CAC41579.1	NA
192	NA	SMc02868	Putative multidrug efflux system	CAC41580.1	NA
193	NA	SMc02869	Putative ATP-binding ABC transporter	CAC41581.2	NA
194	NA	SMc02870	Probable oxidoreductase	CAC41582.1	1.1.1.-
195	NA	SMc02871	Putative ABC transporter	CAC41583.1	NA
196	NA	SMc02872	Probable ABC transporter	CAC41584.1	NA
197	NA	SMc02873	Probable ABC transporter	CAC41585.1	NA
198	NA	SMc02874	Conserved hypothetical protein	CAC41586.1	NA
199	NA	SMc02875	Conserved hypothetical protein	CAC41587.1	NA
200	NA	SMc02876	Probable transcriptional regulator	CAC41588.1	NA
201	NA	SMc02877	Putative amidotransferase	CAC41589.1	NA
202	nagA	SMc02878	Probable N-acetylglucosamine-6-phosphate 	CAC41590.1	3.5.1.25
203	cutC	SMc02879	Putative copper homeostasis protein	CAC41591.1	NA
204	NA	SMc02880	ROK family protein	CAC41592.1	2.7.1.-
205	NA	SMc02881	Probable amidase	CAC41593.1	3.5.1.4
206	NA	SMc02882	Putative transmembrane protein	CAC41594.1	NA
207	NA	SMc02883	Hypothetical protein	CAC41595.1	NA
208	NA	SMc02884	Probable membrane lipoprotein	CAC41596.1	NA
209	msrA1	SMc02885	Probable peptide methionine sulfoxide reductase	CAC41597.1	1.8.4.11
210	tRNA-SER_GGA	SMc02915	Conserved hypothetical signal peptide protein	CAC41598.1	NA
211	NA	SMc02887	Hypothetical protein	CAC41599.1	NA
212	NA	SMc05001	Hypothetical protein	CAQ52370.1	NA
213	NA	SMc02888	Putative transcription regulator	CAC41600.1	NA
214	NA	SMc02889	Putative MFS permease	CAC41601.1	NA
215	NA	SMc02890	Probable outer membrane receptor	CAC41602.1	NA
216	NA	SMc02891	Putative oxidoreductase transmembrane protein	CAC41603.1	NA
217	NA	SMc02892	Putative transport protein	CAC41604.1	NA
218	NA	SMc02893	Probable transcriptional regulator	CAC41605.1	NA
219	NA	SMc02894	Hypothetical protein	CAC41606.1	NA
220	NA	SMc02895	Probable permease	CAC41607.1	NA
221	ilvE1	SMc02896	Probable branched-chain amino acid 	CAC41608.1	2.6.1.42
222	NA	SMc02897	Putative cytochrome C transmembrane protein	CAC41609.1	NA
223	kdsB	SMc02898	Probable 3-deoxy-manno-octulosonate 	CAC41610.1	2.7.7.38
224	pheA	SMc02899	Putative prephenate dehydratase	CAC41611.1	4.2.1.51
225	NA	SMc02900	Conserved hypothetical protein	CAC41612.1	NA
226	NA	SMc02901	Hypothetical protein	CAC41613.1	NA
227	NA	SMc02902	Probable transcriptional regulator	CAC41614.1	NA
228	NA	SMc02903	Probable mutT/nudix family protein	CAC41615.1	3.-.-.-
229	SRP	SMc05021	Hypothetical protein	CAC41616.2	NA
230	dnaX	SMc04634	Putative DNA polymerase III subunit TAU protein	CAC41667.1	2.7.7.7
231	NA	SMc02906	Conserved hypothetical protein	CAC41668.1	NA
232	NA	SMc02907	Putative amino acid exporter	CAC41669.1	NA
233	recR	SMc02908	Probable recombination protein	CAC41670.1	NA
234	mltB1	SMc02909	Membrane-bound lytic murein transglycosylase B	CAC41671.1	3.2.1.-
235	NA	SMc02910	Probable MFS permease	CAC41672.1	NA
236	NA	SMc02911	Conserved hypothetical protein	CAC41673.1	NA
237	nusA	SMc02912	Probable N utilization substance protein A	CAC41674.1	NA
238	NA	SMc02913	Hypothetical protein	CAC41675.1	NA
239	infB	SMc02914	Probable translation initiation factor IF-2 	CAC41676.1	NA
240	rbfA	SMc00320	Probable ribosome-binding factor A, rRNA 	CAC41677.1	NA
241	truB	SMc00321	Probable tRNA pseudouridine synthase B	CAC41678.1	4.2.1.70
242	NA	SMc00322	Probable sensor histidine kinase	CAC41679.1	NA
243	rpsO	SMc00323	Probable 30S ribosomal protein S15	CAC41680.1	NA
244	pnp	SMc00324	Probable polyribonucleotide 	CAC41681.1	2.7.7.8
245	rsmC	SMc00325	Probable ribosomal RNA small subunit 	CAC41682.1	2.1.1.52
246	fabI2	SMc00326	Putative enoyl-acyl-carrier-protein reductase 	CAC41683.1	1.3.1.9
247	fabB	SMc00327	Probable 3-oxoacyl-acyl-carrier-protein synthase 	CAC41684.1	2.3.1.41
248	fabA	SMc00328	Probable 3-hydroxydecanoyl-acyl-carrier-protein 	CAC41685.1	4.2.1.60
249	irr	SMc00329	Putative iron response regulator	CAC41686.1	NA
250	NA	SMc00330	Putative transmembrane protein	CAC41687.1	NA
251	tRNA-ALA_GGC	SMc00435	Hypothetical transmembrane protein	CAC41688.1	NA
252	NA	SMc00332	Hypothetical protein	CAC41689.1	NA
253	aroA	SMc00333	Putative 3-phosphoshikimate 	CAC41690.1	2.5.1.19
254	cmk	SMc00334	Putative cytidylate kinase (CMP kinase)	CAC41691.1	2.7.4.14
255	rpsA	SMc04519	30S ribosomal protein S1	CAC41692.1	NA
256	NA	SMc00336	Hypothetical protein	CAC41693.1	NA
257	NA	SMc00337	Hypothetical/unknown protein	CAC41694.1	NA
258	tRNA-LEU_CAG	SMc00434	Conserved hypothetical protein	CAC41695.1	NA
259	cyaA	SMc00339	Adenylate cyclase 1 protein	CAC41696.1	4.6.1.1
260	NA	SMc00340	Putative phosphoglycerate dehydrogenase	CAC41697.1	1.1.1.95
261	NA	SMc00341	Hypothetical protein	CAC41698.1	NA
262	rnd2	SMc01255	Probable ribonuclease D	CAC41699.2	3.1.13.-
263	TRm20	SMc04520	Putative transposase	CAC41700.1	NA
264	NA	SMc04523	Conserved hypothetical protein	CAC41701.1	NA
265	NA	SMc00345	Conserved hypothetical protein	CAC41702.1	NA
266	NA	SMc00346	Hypothetical transmembrane protein	CAC41703.1	NA
267	rnk	SMc00347	Putative regulator of nucleoside diphosphate 	CAC41704.1	NA
268	NA	SMc00348	Conserved hypothetical protein	CAC41705.2	NA
269	lepA	SMc00349	Probable GTP-binding protein membrane	CAC41706.1	NA
270	NA	SMc00350	Putative transport transmembrane protein	CAC41707.1	NA
271	NA	SMc00351	Putative HTH-type transcriptional regulator	CAC41708.1	NA
272	NA	SMc00352	Putative acetyltransferase	CAC41709.1	2.3.1.-
273	exoD	SMc00353	Putative transmembrane protein	CAC41710.1	NA
274	NA	SMc00354	Probable porin	CAC41711.1	NA
275	kamA	SMc00355	Lysine 2,3-aminomutase	CAC41712.1	5.4.3.2
276	genX	SMc00356	Putative lysyl-tRNA synthetase	CAC41713.1	6.1.1.6
277	efp	SMc00357	Probable elongation factor P	CAC41714.1	NA
278	cfa1	SMc00358	Putative cyclopropane-fatty-acyl-phospholipid 	CAC41715.1	2.1.1.79
279	NA	SMc04526	Hypothetical transmembrane protein	CAC41716.1	NA
280	NA	SMc00360	Conserved hypothetical protein	CAC41717.2	NA
281	NA	SMc00361	Hypothetical protein	CAC41718.1	NA
282	infC	SMc00362	Probable translation initiation factor IF-3 	CAC41719.1	NA
283	rpmI	SMc00363	Probable 50S ribosomal protein L35	CAC41720.1	NA
284	rplT	SMc00364	Probable 50S ribosomal protein L20	CAC41721.1	NA
285	pheS	SMc00365	Probable phenylalanyl-tRNA synthetase alpha 	CAC41722.1	6.1.1.20
286	pheT	SMc00366	Probable phenylalanyl-tRNA synthetase beta 	CAC41723.1	6.1.1.20
287	NA	SMc00367	Conserved hypothetical protein	CAC41724.1	NA
288	NA	SMc00368	Probable oxidoreductase	CAC41725.1	NA
289	NA	SMc00369	Putative oxidoreductase	CAC41726.1	NA
290	NA	SMc00370	Putative transcription regulator	CAC41727.1	NA
291	NA	SMc00371	Conserved hypothetical protein	CAC41728.1	NA
292	NA	SMc04607	Putative oxidoreductase	CAC41729.1	NA
293	NA	SMc00373	Hypothetical/unknown protein	CAC41730.1	NA
294	NA	SMc00374	Putative oxidoreductase transmembrane protein	CAC41731.2	NA
295	NA	SMc00375	Probable oxidoreductase	CAC41732.1	1.1.1.179
296	NA	SMc00376	Hypothetical protein	CAC41733.1	NA
297	NA	SMc00377	Conserved hypothetical protein	CAC41734.1	NA
298	xseA	SMc00378	Putative exodeoxyribonuclease 7 large subunit	CAC41735.1	3.1.11.6
299	NA	SMc00379	Putative NAD(P)H dehydrogenase	CAC41736.1	1.6.99.-
300	pecS	SMc00380	Transcriptional regulator, MarR family	CAC41737.1	NA
301	pecM	SMc00381	Transport protein	CAC41738.1	NA
302	NA	SMc00382	Probable aminopeptidase	CAC41739.1	3.4.11.-
303	gst3	SMc00383	Putative glutathione S-transferase	CAC41740.1	2.5.1.18
304	NA	SMc04592	Putative transcription regulation protein	CAC41741.1	NA
305	NA	SMc00385	Conserved hypothetical protein	CAC41742.1	NA
306	NA	SMc00386	Conserved hypothetical protein	CAC41743.1	NA
307	tatA	SMc00387	Probable aspartate/tyrosine/aromatic 	CAC41744.1	2.6.1.57
308	NA	SMc00388	Conserved hypothetical protein	CAC41745.1	NA
309	NA	SMc00389	Hypothetical/unknown protein	CAC41746.1	NA
310	NA	SMc00390	Hypothetical/unknown protein	CAC41747.1	NA
311	NA	SMc00391	Hypothetical protein	CAC41748.1	NA
312	NA	SMc00392	Conserved hypothetical protein	CAC41749.1	NA
313	NA	SMc00393	Hypothetical/unknown protein	CAC41750.1	NA
314	guaA	SMc00394	Probable GMP synthase glutamine-hydrolyzing 	CAC41751.1	6.3.5.2
315	pfs	SMc00395	Putative MTA/SAH nucleosidase P46 includes: 	CAC41752.1	3.2.2.9
316	NA	SMc00396	Conserved hypothetical protein	CAC41753.1	NA
317	NA	SMc00397	Conserved hypothetical protein	CAC41754.2	NA
318	NA	SMc00460	Conserved hypothetical protein	CAC41755.1	NA
319	corA1	SMc00399	Probable magnesium and cobalt transport 	CAC41756.1	NA
320	NA	SMc00400	Hypothetical signal peptide protein	CAC41757.1	NA
321	NA	SMc00401	Conserved hypothetical protein	CAC41758.2	NA
322	NA	SMc00402	Hypothetical signal peptide protein	CAC41759.1	NA
323	sun2	SMc00403	probable Sun protein (FMU protein), (ribosomal 	CAC41760.1	2.1.1.-
324	NA	SMc00404	Hypothetical protein	CAC41761.1	NA
325	NA	SMc00405	Conserved hypothetical protein	CAC41762.1	NA
326	NA	SMc00406	Probable iron-sulfur cluster-binding protein	CAC41763.1	NA
327	gst4	SMc00407	Putative glutathione S-transferase	CAC41764.1	2.5.1.18
328	NA	SMc00408	Bacitracin resistance protein putative 	CAC41765.1	2.7.1.66
329	NA	SMc00409	Hypothetical signal peptide protein	CAC41766.1	NA
330	NA	SMc00410	Probable NADH-ubiquinone oxidoreductase	CAC41767.1	1.6.99.3
331	NA	SMc00411	Conserved hypothetical protein	CAC41768.1	NA
332	pyrF	SMc00412	Probable orotidine 5'-phosphate decarboxylase	CAC41769.1	4.1.1.23
333	NA	SMc00413	Hypothetical protein	CAC41770.1	NA
334	pmtA	SMc00414	Phospholipid N-methyltransferase	CAC41771.1	2.1.1.17
335	dnaN	SMc00415	Probable DNA polymerase III, beta chain	CAC41772.1	2.7.7.7
336	NA	SMc00416	Probable tetrapyrrole methylase	CAC41773.1	2.1.1.-
337	NA	SMc00418	Conserved hypothetical protein	CAC41774.1	NA
338	gshB1	SMc00419	Glutathione synthetase GshB	CAC41775.1	6.3.2.3
339	NA	SMc04483	Conserved hypothetical protein	CAC41776.1	NA
340	cysK1	SMc00421	Probable cysteine synthase A (O-acetylserine 	CAC41777.1	2.5.1.47
341	NA	SMc00422	Probable transporter	CAC41778.1	NA
342	NA	SMc00423	Probable transporter	CAC41779.1	NA
343	NA	SMc00424	Hypothetical transmembrane protein	CAC41780.1	NA
344	NA	SMc00425	Putative transcription regulator	CAC41781.1	NA
345	dnaS	SMc00461	Probable deoxyuridine 5'-triphosphate 	CAC41782.1	3.6.1.23
346	prfC	SMc00427	Probable peptide chain release factor RF-3 	CAC41783.1	NA
347	NA	SMc00428	Putative transmembrane protein	CAC41784.1	NA
348	NA	SMc00429	Putative transcriptional regulator	CAC41785.1	NA
349	NA	SMc00430	Probable oxidoreductase	CAC41786.1	5.1.3.2
350	NA	SMc00431	Conserved hypothetical protein	CAC41787.1	NA
351	iolB	SMc00432	Putative myo-inositol catabolism protein	CAC41788.1	NA
352	iolE	SMc00433	Putative myo-inositol catabolism protein	CAC41789.1	NA
353	iolD	SMc01166	Putative malonic semialdehyde oxidative 	CAC41790.1	NA
354	iolC	SMc01165	Putative sugar kinase	CAC41791.1	2.7.1.-
355	NA	SMc01164	Conserved hypothetical protein	CAC41792.1	NA
356	NA	SMc01163	Putative oxidoreductase	CAC41793.1	NA
357	NA	SMc01162	Putative glutamine amidotransferase	CAC41794.1	2.6.1.16
358	coaBC	SMc01161	Probable coenzyme A biosynthesis bifunctional 	CAC41795.1	unknown EC_number
359	NA	SMc01160	Conserved hypothetical protein	CAC41796.1	NA
360	NA	SMc01159	Hypothetical protein	CAC41797.1	1.8.1.9
361	NA	SMc01158	Conserved hypothetical protein	CAC41798.1	NA
